\;who;text;Новый вариант;;;;;;;;;;;;;;;;;;;;;
624;ID_18_m_y_ROUND_2_SUICIDE_TEXT;Он он он он прыгнул с этого моста...;Он... он... он прыгнул. С этого моста...;;;;;;;;;;;;;;;;;;;;;
625;ID_18_ROUND_2_GG_ANSWER_RESULT = next;И что?;И что?;;;;;;;;;;;;;;;;;;;;;
626;ID_18_ROUND_2_GG_ANSWER_RESULT = next;Кто прыгнул то?;Так кем он был?;;;;;;;;;;;;;;;;;;;;;
627;ID_18_ROUND_2_GG_ANSWER_RESULT = next;Ты не должен повторять!;Это не совсем тот случай, когда нужно брать пример со своего кумира!;;;;;;;;;;;;;;;;;;;;;
628;ID_18_m_y_ROUND_3_SUICIDE_TEXT;Старик Чакки, я вырос на его выступлениях. Я помню все его шутки...Почему он так...;Это же старик Чакки, я вырос на его выступлениях. Я помню все его шутки... Как же так, почему же так...;;;;;;;;;;;;;;;;;;;;;
629;ID_18_ROUND_3_GG_ANSWER_RESULT = next;Да, классный был мужик.;Да, классный был мужик.;;;;;;;;;;;;;;;;;;;;;
630;ID_18_ROUND_3_GG_ANSWER_RESULT = suicide;Чо за дед?;Кто-кто?;;;;;;;;;;;;;;;;;;;;;
631;ID_18_ROUND_3_GG_ANSWER_RESULT = next;Он умер?;О нет, старик Чакки мертв?;;;;;;;;;;;;;;;;;;;;;
632;ID_18_m_y_ROUND_3_SUICIDE_ON_DIE;А ты не ценитель...;Тебе не понять!..;;;;;;;;;;;;;;;;;;;;;
633;ID_18_m_y_ROUND_4_SUICIDE_TEXT;Этот мир слишком жесток к хорошим людям, я не хочу тут жить...;Я не хочу жить в мире, который так беспощаден к хорошим людям...;;;;;;;;;;;;;;;;;;;;;
634;ID_18_ROUND_4_GG_ANSWER_RESULT = suicide;Аминь.;Справедливо.;;;;;;;;;;;;;;;;;;;;;
635;ID_18_ROUND_4_GG_ANSWER_RESULT = next;Ты мне нравишься.;А ты мне нравишься.;;;;;;;;;;;;;;;;;;;;;
636;ID_18_ROUND_4_GG_ANSWER_RESULT = next;Но ты должен. Извини.;Но мир такой, какой есть. Смирись.;;;;;;;;;;;;;;;;;;;;;
637;ID_18_m_y_ROUND_4_SUICIDE_ON_DIE;Аминь;Прощай, жестокий мир.;;;;;;;;;;;;;;;;;;;;;
638;ID_18_m_y_ROUND_5_SUICIDE_TEXT;Я хочу пойти за ним...;Я хочу пойти за ним...;;;;;;;;;;;;;;;;;;;;;
639;ID_18_ROUND_5_GG_ANSWER_RESULT = suicide;Следуй за своей мечтой!;Следуй за своей мечтой!;;;;;;;;;;;;;;;;;;;;;
640;ID_18_ROUND_5_GG_ANSWER_RESULT = suicide;Пожалуйста, не надо.;Но зачем?;;;;;;;;;;;;;;;;;;;;;
641;ID_18_ROUND_5_GG_ANSWER_RESULT = save;Лучше сохрани память о нем.;Лучше сохрани память о нем.;;;;;;;;;;;;;;;;;;;;;
642;ID_18_m_y_ROUND_5_SUICIDE_ON_DIE;Прощай, жестокий мир.;Прощай, жестокий мир.;;;;;;;;;;;;;;;;;;;;;
643;ID_18_m_y_ROUND_5SUICIDE_ON_GO_HOME;Я так и поступлю...;Я так и поступлю...;;;;;;;;;;;;;;;;;;;;;
644;ID_19_m_a_ROUND_1_SUICIDE_TEXT;Просто что я делаю?;Какой же тупостью я занимаюсь?!;;;;;;;;;;;;;;;;;;;;;
645;ID_19_ROUND_1_GG_ANSWER_RESULT = next;Ты стоишь на мосту...;Дай подумать... В данный момент ты стоишь на мосту.;;;;;;;;;;;;;;;;;;;;;
646;ID_19_ROUND_1_GG_ANSWER_RESULT = next;А что ты делаешь?;А чем ты занимаешься?;;;;;;;;;;;;;;;;;;;;;
647;ID_19_ROUND_1_GG_ANSWER_RESULT = next;Ждешь чуда?;Ждешь чуда?;;;;;;;;;;;;;;;;;;;;;
648;ID_19_m_a_ROUND_2_SUICIDE_TEXT;Каждый день бам бам бам бам. Мне уже это снится! БАМ БАМ БАМ;"Каждый день это ""бам-бам-бам""! Снова и снова. Даже во сне: БАМ-БАМ-БАМ!";;;;;;;;;;;;;;;;;;;;;
649;ID_19_ROUND_2_GG_ANSWER_RESULT = next;Что ты делаешь каждый день?;Что же ты такое делаешь каждый день?;;;;;;;;;;;;;;;;;;;;;
650;ID_19_ROUND_2_GG_ANSWER_RESULT = next;Это повод умереть?;Ты из-за этого хочешь умереть?;;;;;;;;;;;;;;;;;;;;;
651;ID_19_ROUND_2_GG_ANSWER_RESULT = next;Так отдохни.;И ты не можешь отдохнуть от этого?;;;;;;;;;;;;;;;;;;;;;
652;ID_19_m_a_ROUND_3_SUICIDE_TEXT;Моя работа это ставить эти гребаные печати везде.;А ты как думаешь?! Я каждый день только и делаю, что ставлю везде эти долбанные печати.;;;;;;;;;;;;;;;;;;;;;
653;ID_19_ROUND_3_GG_ANSWER_RESULT = next;Это твоя работа?;Так это твоя работа?;;;;;;;;;;;;;;;;;;;;;
654;ID_19_ROUND_3_GG_ANSWER_RESULT = suicide;Во всем есть что-то хорошее.;Попробуй найти в этом что-то хорошее.;;;;;;;;;;;;;;;;;;;;;
655;ID_19_ROUND_3_GG_ANSWER_RESULT = suicide;А я вот людей выслушиваю, кому хуже?;А я вот каждый день людей на мосту выслушиваю.;;;;;;;;;;;;;;;;;;;;;
656;ID_19_m_a_ROUND_3_SUICIDE_ON_DIE;Спасибо;Это бесполезно...;;;;;;;;;;;;;;;;;;;;;
657;ID_19_m_a_ROUND_4_SUICIDE_TEXT;Каждый ебаный день к 9 утра, стучать печатями ТУК ТУК ТУК. Да по лице себе постучите.;О да! Каждый долбанный день с 9 утра стучать печатями. ТУК-ТУК-ТУК! По лицу себе постучите!!!;;;;;;;;;;;;;;;;;;;;;
658;ID_19_ROUND_4_GG_ANSWER_RESULT = suicide;Да, я так же пахал. И теперь тут...;Да, я тоже раньше пахал на пятидневке. А теперь тут...;;;;;;;;;;;;;;;;;;;;;
659;ID_19_ROUND_4_GG_ANSWER_RESULT = next;Ну надо же как то жить, да?;Многие терпеть не могут свою работу. Но надо же как-то жить, да?;;;;;;;;;;;;;;;;;;;;;
660;ID_19_ROUND_4_GG_ANSWER_RESULT = suicide;Хватить ныть.;Хватить уже ныть.;;;;;;;;;;;;;;;;;;;;;
661;ID_19_m_a_ROUND_4_SUICIDE_ON_DIE;ПОСТАВЬТЕ ПЕЧАТЬ НА МОЕМ ТРУПЕ. ТУК ТУК ТУК.;ПОСТАВЬТЕ ПЕЧАТЬ НА МОЕМ ГРОБУ!;;;;;;;;;;;;;;;;;;;;;
662;ID_19_m_a_ROUND_5_SUICIDE_TEXT;Я не хочу...опять...бам бам бам.. ;"Я не хочу... Опять это ""бам-бам-бам""... ";;;;;;;;;;;;;;;;;;;;;
663;ID_19_ROUND_5_GG_ANSWER_RESULT = save;Найди свой ритм. Ты же любишь музыку?;Найди свой ритм. Ты же любишь музыку?;;;;;;;;;;;;;;;;;;;;;
664;ID_19_ROUND_5_GG_ANSWER_RESULT = suicide;Это же не навсегда.;Это же не навсегда.;;;;;;;;;;;;;;;;;;;;;
665;ID_19_ROUND_5_GG_ANSWER_RESULT = suicide;Можешь ловить людей вместо меня.;Как насчет поменяться профессиями?;;;;;;;;;;;;;;;;;;;;;
666;ID_19_m_a_ROUND_5_SUICIDE_ON_DIE;Слушать тебя еще тупее чем моя работа...;Разговор с тобой даже тупее, чем моя работа.;;;;;;;;;;;;;;;;;;;;;
667;ID_19_m_a_ROUND_5SUICIDE_ON_GO_HOME;А звучит. Тук тук ... Туц ... Тук тук.;Хм, а это мысль... Тук-тук... Туц! Тук-тук.;;;;;;;;;;;;;;;;;;;;;
668;ID_20_m_o_ROUND_1_SUICIDE_TEXT;Жизнь прекрасна? А я?;Жизнь прекрасна? А я?;;;;;;;;;;;;;;;;;;;;;
669;ID_20_ROUND_1_GG_ANSWER_RESULT = next;А что ты?;А что ты?;;;;;;;;;;;;;;;;;;;;;
670;ID_20_ROUND_1_GG_ANSWER_RESULT = next;Да все прекрасны.;Все по-своему прекрасны.;;;;;;;;;;;;;;;;;;;;;
671;ID_20_ROUND_1_GG_ANSWER_RESULT = next;Что ты имеешь ввиду?;Что ты имеешь ввиду?;;;;;;;;;;;;;;;;;;;;;
672;ID_20_m_o_ROUND_2_SUICIDE_TEXT;Я устал смотреть на свое уродливое лицо, на эту чахлую грудь.;Я устал видеть в зеркале свое нелепое отражение, это уродливое лицо...;;;;;;;;;;;;;;;;;;;;;
673;ID_20_ROUND_2_GG_ANSWER_RESULT = next;Никто не идеален.;Никто не идеален.;;;;;;;;;;;;;;;;;;;;;
674;ID_20_ROUND_2_GG_ANSWER_RESULT = next;Это проблема?;И это по-твоему проблема?;;;;;;;;;;;;;;;;;;;;;
675;ID_20_ROUND_2_GG_ANSWER_RESULT = save;Ты можешь надеть пакет.;Ты можешь надеть пакет. Такой, знаешь, бумажный, с прорезями для глаз.;;;;;;;;;;;;;;;;;;;;;
676;ID_20_m_o_ROUND_2SUICIDE_ON_GO_HOME;А это выход...;Звучит глупо. Но я попробую!;;;;;;;;;;;;;;;;;;;;;
677;ID_20_m_o_ROUND_3_SUICIDE_TEXT;Как же я хочу избавиться от своего мерзкого тела!!!!;Я просто хочу избавиться от этого мерзкого тела!!!;;;;;;;;;;;;;;;;;;;;;
678;ID_20_ROUND_3_GG_ANSWER_RESULT = next;У тебя есть запасное?;У тебя есть запасное?;;;;;;;;;;;;;;;;;;;;;
679;ID_20_ROUND_3_GG_ANSWER_RESULT = suicide;Ты преувеличиваешь, все у тебя нормально.;Да ты преувеличиваешь, все у тебя нормально.;;;;;;;;;;;;;;;;;;;;;
680;ID_20_ROUND_3_GG_ANSWER_RESULT = next;Кто-то еще так говорит?;Где-то я это уже слышал.;;;;;;;;;;;;;;;;;;;;;
681;ID_20_m_o_ROUND_3_SUICIDE_ON_DIE;ЫАаыаы;Это ложь!;;;;;;;;;;;;;;;;;;;;;
682;ID_20_m_o_ROUND_4_SUICIDE_TEXT;Что ты там говоришь, я ненавижу все. Все ненавижу.;Что ты там говоришь, я ненавижу все. Все ненавижу.;;;;;;;;;;;;;;;;;;;;;
683;ID_20_ROUND_4_GG_ANSWER_RESULT = suicide;Внешность не главное.;Внешность - не главное.;;;;;;;;;;;;;;;;;;;;;
684;ID_20_ROUND_4_GG_ANSWER_RESULT = suicide;Воу воу, дыши глубже.;Воу-воу, полегче. Дыши глубже.;;;;;;;;;;;;;;;;;;;;;
685;ID_20_ROUND_4_GG_ANSWER_RESULT = save;Ты можешь отомстить всем красивым людям?;Ты можешь отомстить всем красивым людям?;;;;;;;;;;;;;;;;;;;;;
;ID_20_m_o_ROUND_4_SUICIDE_ON_DIE;;К черту это все!;;;;;;;;;;;;;;;;;;;;;
686;ID_20_m_o_ROUND_4_SUICIDE_ON_GO_HOME;Хм, я перенаправлю ненависть к себя на окружающих. Круто!;Хм, я перенаправлю внутреннюю ненависть к себе на окружающих. Круто!;;;;;;;;;;;;;;;;;;;;;
687;ID_27_m_y_ROUND_1_SUICIDE_TEXT;Gg.;GG.;;;;;;;;;;;;;;;;;;;;;
688;ID_27_ROUND_1_GG_ANSWER_RESULT = next;wp no re.;WP no RE.;;;;;;;;;;;;;;;;;;;;;
689;ID_27_ROUND_1_GG_ANSWER_RESULT = next;Что ты имеешь ввиду?;Чего-чего?;;;;;;;;;;;;;;;;;;;;;
690;ID_27_ROUND_1_GG_ANSWER_RESULT = next;Go go?;Go-go?;;;;;;;;;;;;;;;;;;;;;
691;ID_27_m_y_ROUND_2_SUICIDE_TEXT;У меня серьезная проблема.;У меня серьезная проблема.;;;;;;;;;;;;;;;;;;;;;
692;ID_27_ROUND_2_GG_ANSWER_RESULT = next;Говори.;Выкладывай.;;;;;;;;;;;;;;;;;;;;;
693;ID_27_ROUND_2_GG_ANSWER_RESULT = next;Мы все решим.;Мы все решим.;;;;;;;;;;;;;;;;;;;;;
694;ID_27_ROUND_2_GG_ANSWER_RESULT = next;Например: ТЫ СТОИШЬ НА МОСТУ?;Например: ТЫ СТОИШЬ НА МОСТУ?;;;;;;;;;;;;;;;;;;;;;
695;ID_27_m_y_ROUND_3_SUICIDE_TEXT;Я не думаю, что я смогу справиться с этим.;Я не думаю, что я смогу справиться с этим.;;;;;;;;;;;;;;;;;;;;;
696;ID_27_ROUND_3_GG_ANSWER_RESULT = next;Просто позволь помочь тебе.;Просто позволь помочь тебе.;;;;;;;;;;;;;;;;;;;;;
697;ID_27_ROUND_3_GG_ANSWER_RESULT = suicide;Чувак, просто больше гуляй и найди работу.;Чувак, просто больше гуляй на свежем воздухе и найди работу.;;;;;;;;;;;;;;;;;;;;;
698;ID_27_ROUND_3_GG_ANSWER_RESULT = next;Расскажи же с чем?;С чем справиться?;;;;;;;;;;;;;;;;;;;;;
699;ID_27_m_y_ROUND_3_SUICIDE_ON_DIE;О, мне помогло, спасибо.;О, мне помогло, спасибо.;;;;;;;;;;;;;;;;;;;;;
700;ID_27_m_y_ROUND_4_SUICIDE_TEXT;Я пирачу игры...;Я качаю игры с торрентов...;;;;;;;;;;;;;;;;;;;;;
701;ID_27_ROUND_4_GG_ANSWER_RESULT = next;Больной ублюдок.;Больной ублюдок.;;;;;;;;;;;;;;;;;;;;;
702;ID_27_ROUND_4_GG_ANSWER_RESULT = save;Я вызываю полицию.;Я вызываю полицию.;;;;;;;;;;;;;;;;;;;;;
703;ID_27_ROUND_4_GG_ANSWER_RESULT = suicide;Да как тебя земля носит?;Да как тебя земля носит?!;;;;;;;;;;;;;;;;;;;;;
704;ID_27_m_y_ROUND_4_SUICIDE_ON_DIE;Прощай.;И правда...;;;;;;;;;;;;;;;;;;;;;
705;ID_27_m_y_ROUND_4SUICIDE_ON_GO_HOME;Я сдаюсь, окей.;Стой! Я сдамся сам!;;;;;;;;;;;;;;;;;;;;;
706;ID_27_m_y_ROUND_5_SUICIDE_TEXT;И покупаю только по огромной скидке...;А покупаю только на распродажах...;;;;;;;;;;;;;;;;;;;;;
707;ID_27_ROUND_5_GG_ANSWER_RESULT = save;Я не хочу с тобой разговаривать.;Глаза б мои тебя не видели.;;;;;;;;;;;;;;;;;;;;;
708;ID_27_ROUND_5_GG_ANSWER_RESULT = save;Gg.;LOL.;;;;;;;;;;;;;;;;;;;;;
709;ID_27_ROUND_5_GG_ANSWER_RESULT = save;Ясно, понятно.;Ясно-понятно.;;;;;;;;;;;;;;;;;;;;;
710;ID_27_m_y_ROUND_5SUICIDE_ON_GO_HOME;Пойду подумаю.;Мне нужно обдумать свою жизнь...;;;;;;;;;;;;;;;;;;;;;
711;ID_21_m_o_ROUND_1_SUICIDE_TEXT;Я так скучаю, мне так одиноко.;Только не моя... Мне одиноко, я так скучаю по ней!;;;;;;;;;;;;;;;;;;;;;
712;ID_21_ROUND_1_GG_ANSWER_RESULT = next;По кому?;По кому?;;;;;;;;;;;;;;;;;;;;;
713;ID_21_ROUND_1_GG_ANSWER_RESULT = next;У тебя есть я!;У вас есть я!;;;;;;;;;;;;;;;;;;;;;
714;ID_21_ROUND_1_GG_ANSWER_RESULT = next;Бывает.;Бывает.;;;;;;;;;;;;;;;;;;;;;
715;ID_21_m_o_ROUND_2_SUICIDE_TEXT;Моя маленькая Мира, я проводил с ней каждый вечер.;Моя маленькая Мира... Я был готов проводить с ней каждый вечер.;;;;;;;;;;;;;;;;;;;;;
716;ID_21_ROUND_2_GG_ANSWER_RESULT = next;И где она?;И где она сейчас?;;;;;;;;;;;;;;;;;;;;;
717;ID_21_ROUND_2_GG_ANSWER_RESULT = suicide;А теперь на мосту.;Кроме сегодняшнего?;;;;;;;;;;;;;;;;;;;;;
718;ID_21_ROUND_2_GG_ANSWER_RESULT = suicide;Поэтому она и ушла?;Поэтому она и ушла?;;;;;;;;;;;;;;;;;;;;;
719;ID_21_m_o_ROUND_2_SUICIDE_ON_DIE;Эх...;С меня хватит...;;;;;;;;;;;;;;;;;;;;;
720;ID_21_m_o_ROUND_3_SUICIDE_TEXT;Да откуда я знаю где она!? Сидит там где-то на ее коленях.;Да откуда я знаю?! Сидит там где-то, у нее на коленях.;;;;;;;;;;;;;;;;;;;;;
721;ID_21_ROUND_3_GG_ANSWER_RESULT = next;Это...Странно?;Эм, что?;;;;;;;;;;;;;;;;;;;;;
722;ID_21_ROUND_3_GG_ANSWER_RESULT = next;Я не понимаю.;Простите, я не понимаю.;;;;;;;;;;;;;;;;;;;;;
723;ID_21_ROUND_3_GG_ANSWER_RESULT = next;В отношениях такое бывает.;В отношениях и не такое бывает.;;;;;;;;;;;;;;;;;;;;;
724;ID_21_m_o_ROUND_4_SUICIDE_TEXT;Ты вообще представляешь во сколько мне она обошлась? Я брал ее на выставке.;Ты вообще можешь себе представить, во сколько она мне обошлась? С такими-то данными! ;;;;;;;;;;;;;;;;;;;;;
725;ID_21_ROUND_4_GG_ANSWER_RESULT = next;Во сколько?;Вы думаете о том же, о чем и я?;;;;;;;;;;;;;;;;;;;;;
726;ID_21_ROUND_4_GG_ANSWER_RESULT = next;КОГО?!?;А вот с этого места поподробнее!;;;;;;;;;;;;;;;;;;;;;
727;ID_21_ROUND_4_GG_ANSWER_RESULT = next;Догадываюсь.;Могу только догадываться.;;;;;;;;;;;;;;;;;;;;;
728;ID_21_m_o_ROUND_5_SUICIDE_TEXT;Моя бывшая жена отсудила мое маленькое сокровище, миленькая маленькая вест-хайленд вайт терьерчик.;Моя бывшая жена отсудила у меня самое дорогое, что было в моей жизни - чистокровного вест-хайленд вайт терьерчика!  ;;;;;;;;;;;;;;;;;;;;;
